AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,ObjectId
2510,ASST POLICE CHIEF-LT COLONEL       ,F,W ,40 - 49,48,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,22,1
2512,POLICE LIEUTENANT                  ,M,W ,40 - 49,46,3RD DIVISION                                           ,STAFF                                                  ,22,2
2518,POLICE OFFICER                     ,F,W ,40 - 49,45,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,21,3
2519,POLICE OFFICER                     ,F,W ,40 - 49,47,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22,4
2521,POLICE MAJOR                       ,M,W ,50 - 59,52,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,23,5
2522,POLICE OFFICER                     ,M,W ,50 - 59,55,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,22,6
2524,POLICE SERGEANT                    ,M,W ,50 - 59,55,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,23,7
2528,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,25,8
2530,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,1ST PLATOON                                            ,19,9
2531,POLICE MAJOR                       ,M,W ,50 - 59,50,2ND DIVISION                                           ,STAFF                                                  ,21,10
2532,POLICE OFFICER                     ,F,W ,40 - 49,46,6TH DIVISION                                           ,1ST PLATOON                                            ,22,11
2533,POLICE OFFICER                     ,M,W ,OVER 60,74,TRAFFIC                                                ,1ST PLATOON                                            ,49,12
2534,POLICE CHIEF                       ,M,B ,OVER 60,70,CHIEF`S STAFF                                          ,STAFF                                                  ,20,13
2535,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,20,14
2540,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,22,15
2541,POLICE SERGEANT                    ,M,W ,40 - 49,47,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,24,16
2543,POLICE SERGEANT                    ,M,W ,50 - 59,54,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,19,17
2547,POLICE OFFICER                     ,M,B ,50 - 59,50,7TH DIVISION                                           ,1ST PLATOON                                            ,19,18
2551,POLICE MAJOR                       ,M,W ,40 - 49,46,1ST DIVISION                                           ,STAFF                                                  ,23,19
2552,POLICE OFFICER                     ,M,B ,50 - 59,56,2ND DIVISION                                           ,2ND PLATOON                                            ,21,20
2554,POLICE OFFICER                     ,M,W ,OVER 60,70,TRAINING                                               ,SKILLS TRAINING UNIT                                   ,48,21
2562,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,3RD PLATOON                                            ,23,22
2563,POLICE OFFICER                     ,M,W ,50 - 59,52,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,19,23
2564,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,SUPPORT BUREAU                                         ,STAFF                                                  ,21,24
2569,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,1ST PLATOON                                            ,20,25
2571,POLICE SERGEANT                    ,M,A ,50 - 59,55,2ND DIVISION                                           ,2ND PLATOON                                            ,19,26
2572,POLICE OFFICER                     ,M,W ,40 - 49,47,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,19,27
2577,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,SQUAD 2                                                ,21,28
2582,POLICE OFFICER                     ,M,W ,OVER 60,65,4TH DIVISION                                           ,1ST PLATOON                                            ,21,29
2583,POLICE OFFICER                     ,F,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,21,30
2585,POLICE SERGEANT                    ,M,W ,40 - 49,48,8TH DIVISION                                           ,1ST PLATOON                                            ,21,31
2586,POLICE MAJOR                       ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,22,32
2591,POLICE OFFICER                     ,M,B ,OVER 60,62,9TH DIVISION                                           ,STAFF                                                  ,21,33
2597,POLICE OFFICER                     ,F,W ,50 - 59,52,RECORDS MANAGEMENT                                     ,STAFF                                                  ,19,34
